Commit SHA,Commit message
27557a7a99ab1ad032c699dc01e114a5e6504b0a,'Fixed #28857 -- Fixed invalid SQL when using Cast with complex expressions on PostgreSQL.'
196c257a230bba8f2f1b2021c383eb2744e8df41,'Fixed typo in docs/topics/i18n/translation.txt.'
4fcd28d442c2fec56f544f99cb658f33f847824c,"""Fixed #28881 -- Doc'd that CommonPasswordValidator's password list must be lowercase."""
02365d3f38a64a5c2f3e932f23925a381d5bb151,'Fixed #28542 -- Fixed deletion of primary key constraint if the new field is unique.'
56e590cc0be4d8c8b6fe0967583a6e02d18ee03e,"""Fixed #28761 -- Documented how an inline formset's prefix works."""
9a621edf624a4eb1f1645fca628a9e432f0de776,'Fixed #29016 -- Fixed incorrect foreign key nullification on related instance deletion.'
52aa26e6979ba81b00f1593d5ee8c5c73aaa6391,"""Fixed #28231 -- Doc'd that QuerySet.bulk_create() casts objs to a list."""
1b753b2d60230974e7d537ddacbcc1ad23348e7c,"'Fixed #28885 -- Fixed hidden content at the bottom of the ""The install worked successfully!"" page for some languages.'"
385e6fb352f3cb80d2f72838e08372cb392aaa45,"""Removed Query.split_exclude()'s unused prefix argument.\n\nUnused since b4492a8ca4a7ae4daa3a6b03c3d7a845fad74931."""
b9cec9fa1fc50207ab68a59853c851a945c5db5e,'Fixed #29017 -- Updated BaseCommand.leave_locale_alone doc per refs #24073.'
a38ae914d89809aed6d79337b74a8b31b6d3849a,'Fixed #28996 -- Simplified some boolean constructs and removed trivial continue statements.'
1f0813ca7e8a15d10fcdaad1a5d66b7eec28dedb,'Fixed string format specifier for fillfactor in GistIndex.'
1e81a4b897b6b4343fcae58e9dc1349cc95fade5,'Fixed #28638 -- Made allowed_hosts a required argument of is_safe_url().'
7c00f9fb1cc47e1c993f7728e2b592a1be29dd40,"""Fixed #29002 -- Corrected cached template loader docs about when it's automatically enabled.\n\nThanks oTree-org for the suggestion."""
f636f0bb86a5ff3a61401f5ec7ea5d3392edd30f,"'Fixed #29007 -- Fixed DecimalValidator crash on NaN, SNan, Inf, and Infinity values.'"
c886f3dee33adc9f94332b4133a37960e985e273,'Fixed #29006 -- Fixed DecimalField.clean() crash on sNaN values.'
5bf62825b591372739a082be7bfc9c59e54bbc1f,'Fixed #28828 -- Improved performance of HttpRequest.build_absolute_uri().'
66d74676e23c32bc676fb0706af8580b391953b6,'Fixed a GeoIP2 test failure with the latest GeoIP2 database.'
d95f1e711b9d1b3e60f7728e9710b8f542cec385,'Allowed indexes in contrib.postgres to have suffixes of any length.'
09530e61a0035192ca8bcdebc5ead13d14c16eb0,'Fixed #28869 -- Made tagged test classes and methods inherit tags from parents.'
47a99d701277f6ec98e6fd220feb9c8a1e66718e,'Fixed #28989 -- Fixed HttpResponse.delete_cookie() for cookies that use __Secure/Host prefixes.'
762bd34c3699875d315d478b3efb090155beb743,'Fixed #28842 -- Added SpatiaLite support for ForcePolygonCW function.'
8f8a93a9ae49fa807348f9f456b6635c8ebc5d0c,"'Fixed #28859 -- Made Oracle backend raise DatabaseError if ""no data found"" exception is hidden by the Oracle OCI library.\n\nThanks Tim Graham for the review and Jani Tiainen for the report.'"
777f216d555496798a1e65fd899b0f8a0349aeca,"'Fixed #15522 -- Added ModelAdmin.delete_queryset() to customize ""delete selected objects"" deletion.'"
ec2ce4517ac89f6c6334fe5322d1fc2007dfcbd4,'Fixed #28882 -- Fixed cleaning of disabled MultiValueFields.\n\nThanks avalanchy for the initial patch.'
3333d935d2914cd80cf31f4803821ad5c0e2a51d,"'Fixed #28757 -- Allowed using contrib.auth forms without installing contrib.auth.\n\nAlso fixed #28608 -- Allowed UserCreationForm and UserChangeForm to\nwork with custom user models.\n\nThanks Sagar Chalise and R\xc3\xb4mulo Collopy for reports, and Tim Graham\nand Tim Martin for reviews.'"
d1286a8a689e31435c07534fee7b61f41cea37f8,"""Fixed #28517 -- Fixed admin delete confirmation view crash when related models don't have a delete permission."""
d7b2aa24f75434c2ce50100cfef3586071e0747a,'Fixed #28982 -- Simplified code with and/or.'
602481d0c9edb79692955e073fa481c322f1df47,'Fixed #28986 -- Prevented boolean values in admin list display from being formatted with thousand separators.'
acc8dd4142ec81def9a73507120c0262ba6b1264,'Fixed #28984 -- Made assorted code simplifications.'
d79cf1e9e2887aa12567c8f27e384195253cb847,'Fixed #28985 -- Removed unneeded None checks before hasattr().'
cc6bcc6ff5cab320c5e5ae2760549a6c732067d8,'Fixed #28867 -- Added system check for a model property that clashes with a related field accessor.'
fbf647287ebd9898bff69c65a89fa09a903adaa5,'Fixed #28811 -- Fixed crash when combining regular and group by annotations.'
2cb6b7732dc7b172797cebb1e8f19be2de89e264,'Fixed #28902 -- Fixed password_validators_help_text_html() double escaping.'
0afffae4ecb660f2ecb94a756c2ab7729654ecf6,"""Fixed #28965 -- Updated Set-Cookie's Expires date format to follow RFC 7231."""
f5a989e60394ac11f5dce886468a34533caefcbf,'Fixed #28974 -- Made refresh_from_db() hint routers about its instance.'
248fa208cb2c7607fb7a464238fb8ebe62e6a54c,'Fixed typo in TemplateCommand argument help text.'
d065c92678f5d11a70b88e195c6357576eb3a2ef,'Fixed #28918 -- Fixed Model.refresh_from_db() for instances hidden by the default manager.'
dcdd219ee1e062dc6189f382e0298e0adf5d5ddf,'Fixed #25817 -- Made RenameField repoint to_field/to_fields references.\n\nAlso updated the autodetector to assume the RenameField operation will\nperform the required repointing.'
149061103829fb3ad74d050b4ae3cc815b2f451c,'Fixed #28908 -- Allowed ArrayField lookups on ArrayAgg annotations.'
58ec55b157b3c4cc9dc0a944804f8a719ff4e12f,"""Fixed #28117 -- Added a helpful message in loaddata when psycopg2 can't load a fixture due to NUL characters."""
9bc4d90d1a8c4d1dee54115a0995a7b6fca8635b,'Fixed #14642 -- Fixed generic inline formsets crash when using save_as_new=True.'
